"X4EVERDROP","X1SEX","X1RACE","X1STAGE","X1CONTROL","X1SES","X1SES_U","X1SCHOOLENG","X1SCHOOLBEL","X1SCHOOLCLI","X1TXMTSCOR","X1LOCALE","X1REGION","S1M8GRADE","X1MTHID","X1MTHUTI","X1MTHEFF","X1MTHINT","X1SCIID","X1SCIUTI","X1SCIEFF","X1SCIINT","X2SCHOOLCLI","X2PROBLEM","X1PAREDEXPCT","X1STUEDEXPCT","X1PROBLEM","S1MSCORE","na_prop","STU_ID"
0,1,"Hispanic, race specified",14,"Public",-0.0106,-0.0453,0.67,-0.59,-1.48,53.8914,"City","Midwest","A",1.76,0.9,1.62,1.05,-0.33,-0.33,1.42,0.16,-1.41,1.19,6,8,0.563132743316753,4,0.0357142857142857,"10019"
0,1,"White, non-Hispanic",15,"Public",-0.2746,-0.1967,0.33,0.49,-1.88,48.4647,"City","West","B",0,-0.7,-0.97,-0.64,0.91,-0.33,-0.05,1.38,-0.42,-0.78,8,8,-0.835244940109192,4.2,0,"10020"
0,1,"White, non-Hispanic",14,"Public",0.4235,0.329,0.9,0.3,0.74,54.1491,"Suburb","Midwest","A",0.6,0.27,0.49,0.19,0.91,0.28,-0.05,0.16,0.68,-0.6,6,8,-1.67180999419758,4.8,0.0714285714285714,"10021"
0,1,"Asian, non-Hispanic",15,"Catholic or other private",1.4372,1.4352,-0.62,1.09,0.39,57.9257,"City","West","A",1.19,-0.7,0.78,-0.8,2.15,1.69,-0.61,0.5,0.42,-0.76,8,10,-0.649567657891394,5.6,0,"10022"
0,1,"White, non-Hispanic",14,"Public",0.1402,0.0219,-0.26,-0.04,-1.27,56.238,"Suburb","Midwest","B",0,-0.7,-0.17,0.19,0.91,0.1,-0.05,0.09,-0.72,-0.1,8,6,0.0799645208127539,3,0.0357142857142857,"10024"
0,0,"White, non-Hispanic",14,"Catholic or other private",0.0887,0.1443,0.04,1.09,0.64,47.5236,"City","Northeast","A",0.03,0.9,1.34,0.85,-1.57,-0.33,-0.16,0.93,1.67,-0.74,6,2,-0.271260149748346,4,0.357142857142857,"10027"
0,0,"White, non-Hispanic",15,"Public",1.5809,1.5847,-0.64,-1.28,0.08,70.8013,"City","South","B",-1.13,-1.33,-0.17,-0.66,-0.94,-1.88,-0.05,-1.44,0.26,-1.74,8,6,-0.512408738098765,4.2,0.0714285714285714,"10030"
0,0,"Asian, non-Hispanic",15,"Public",0.6753,0.7026,1.39,-0.62,-2.4,65.5911,"City","South","A",1.76,-0.3,1.62,0.56,0.31,0.1,-0.59,-0.21,-0.23,0.02,10,8,1.52179369499357,5.6,0.0714285714285714,"10039"
0,0,"White, non-Hispanic",16,"Public",-0.7046,-0.8222,-1.24,-0.69,-0.99,33.5529,"Suburb","South","D",-1.73,-1.27,-0.9,-1.01,-1.57,-1.5,-1.2,-1.37,0.56,1.48,1,3,0.509833598207417,1,0.214285714285714,"10041"
0,0,"White, non-Hispanic",15,"Public",-0.3642,-0.3713,0.52,-0.39,0.02,46.9388,"Suburb","Midwest","B",-0.57,-1.33,-0.56,-0.29,-0.33,0.1,0.25,0.11,0.08,-1.3,6,6,0.509833598207417,3,0.107142857142857,"10043"
0,1,"White, non-Hispanic",15,"Catholic or other private",1.3291,1.3242,-0.56,1.34,0.19,67.1436,"City","South","A",1.76,-0.93,1.62,1.02,0.27,-0.89,-0.59,-0.17,1.79,-1.85,10,10,-1.18646961067029,5.6,0,"10044"
0,0,"White, non-Hispanic",15,"Public",-0.1707,-0.2156,0.52,-0.39,0.31,47.4921,"Rural","Northeast","C",-0.57,1.31,0.1,0.19,-0.33,1.27,-0.48,-1.38,0.55,-0.2,6,6,-0.756600533275629,2.8,0.0714285714285714,"10046"
0,0,"White, non-Hispanic",14,"Public",-1.1012,-0.951,-0.39,1.23,1,31.7241,"City","Northeast","C",0,1.31,1.62,2.08,-1.57,-1.03,-0.16,-2.22,-0.35,0.02,5,2,-0.912342516081333,2.4,0.0357142857142857,"10050"
0,1,"Hispanic, race specified",15,"Public",-0.0058,-0.0998,-0.48,-1.06,-0.83,55.0993,"Suburb","South","B",0.56,-0.3,1.34,0.3,0.24,1.69,1.83,2.03,-2.64,1.97,10,10,-0.433764331265202,3.6,0,"10060"
0,1,"Asian, non-Hispanic",14,"Public",1.165,1.1353,-0.2,-0.88,-1.64,64.4295,"Suburb","Midwest","B",0.6,-0.7,0.1,0.55,0.27,0.1,0.25,0.89,0.07,-1.44,7,10,-1.16484334083077,4.2,0.142857142857143,"10061"
0,1,"Hispanic, race specified",14,"Public",-0.6763,-0.6928,-1.43,0.3,0.24,49.8739,"Suburb","South","C",-0.53,-0.3,-1.41,-0.71,0.94,1.27,0.69,1,1.42,-1.21,6,6,-0.493825675085691,2.4,0.0357142857142857,"10063"
0,0,"White, non-Hispanic",15,"Public",-0.5381,-0.6331,0.71,-0.37,-0.7,45.847,"Suburb","South","C",-1.13,-0.3,-1.14,-1.68,-0.33,-0.89,-0.89,-1.05,-0.29,0.71,10,6,0.695510880425215,2.4,0,"10065"
0,1,"Asian, non-Hispanic",14,"Public",-1.7526,-1.8753,-0.5,-0.39,-0.3,65.7365,"Suburb","South","A",0.6,-0.3,0.1,-0.66,-0.33,0.1,0.25,-1.84,0.32,-0.2,6,8,-0.433764331265202,5.6,0,"10067"
0,0,"White, non-Hispanic",15,"Public",-0.0872,-0.0931,1.01,-0.39,-0.85,50.2947,"Rural","South","A",0.6,0.27,0.95,0.87,-1.57,-0.33,-0.05,-0.63,0.06,-0.09,7,10,-0.433764331265202,4,0.0357142857142857,"10068"
0,0,"White, non-Hispanic",15,"Public",-0.0998,-0.1986,1.01,-0.39,-0.7,43.2763,"Suburb","West","C",-0.57,0.9,-0.17,0.14,-0.33,0.1,-0.48,0.16,0.5,1.26,4,2,1.58537507962293,2.4,0,"10072"
0,1,"Black/African-American, non-Hispanic",14,"Public",2.1586,2.1415,1.39,0.21,-2.4,73.529,"City","West","A",1.76,-0.13,1.34,2.08,0.91,0.71,1.1,0.16,-0.07,-0.22,6,10,1.3614616745,6.4,0,"10078"
0,0,"Black/African-American, non-Hispanic",14,"Public",0.2028,0.2892,0.03,0.18,-0.58,38.6225,"City","South","C",0.03,0.27,-0.58,0.39,-1.57,-0.89,-2.07,-2.59,-0.37,0.77,6,2,-0.756600533275629,2,0.178571428571429,"10080"
0,1,"White, non-Hispanic",15,"Public",-0.2902,-0.3186,-0.09,0.16,-2.24,45.2292,"Rural","Midwest","C",-1.73,-0.3,-0.58,-1.79,0.91,0.1,0.25,0.49,-0.41,0.04,6,4,-0.433764331265202,2.4,0.0714285714285714,"10085"
0,0,"Asian, non-Hispanic",14,"Public",-0.0996,-0.129,1.01,-0.04,-0.82,63.5164,"Suburb","South","A",0.6,0.5,-0.17,0.19,0.91,-0.33,-0.05,0.49,0.24,0.22,10,8,-0.00389525387053913,5.6,0.0714285714285714,"10086"
0,1,"More than one race, non-Hispanic",14,"Public",-0.9782,-1.0806,1.01,-0.39,-1.51,55.8121,"Rural","West","B",0.6,1.31,1.34,1.41,-0.33,-1.5,-0.05,0.16,0.36,-0.32,8,6,-0.863633408659865,3.6,0.0357142857142857,"10087"
0,0,"More than one race, non-Hispanic",14,"Public",-0.0322,-0.1575,1.01,1.1,-0.7,50.1433,"Suburb","South","B",-0.57,0.27,0.22,0.86,2.15,1.27,1.42,1.64,-0.29,0.71,6,8,0.695510880425215,3.6,0.0357142857142857,"10090"
0,1,"White, non-Hispanic",14,"Public",-0.1513,-0.1513,0.9,-0.04,-1.45,49.5211,"Rural","South","A",0,-0.3,0.1,-0.24,-0.33,-0.52,-0.48,-0.17,-0.02,0.15,6,10,1.31801018374513,4,0.142857142857143,"10093"
0,0,"Hispanic, race specified",14,"Public",0.9349,0.8219,0.14,1.59,-0.52,53.6645,"Suburb","Midwest","B",0.6,0.27,1.34,0.85,-0.33,-0.28,1.1,0.16,-0.74,0.01,8,8,-1.07943673528606,3,0.0357142857142857,"10097"
0,0,"White, non-Hispanic",14,"Public",1.4352,1.3114,0.71,-0.39,-1.98,52.6311,"Suburb","West","A",1.76,0.27,0.1,1.23,0.91,0.1,1.83,-0.6,-0.18,0.13,8,10,-0.505646539387612,5.6,0,"10099"
0,0,"White, non-Hispanic",14,"Public",-0.1266,-0.2128,1.09,-0.95,0.25,42.3864,"Suburb","South","D",-1.73,-1.74,-2.48,-1.98,-1.57,-1.88,-1.2,-0.98,0.28,0.42,10,10,-0.0757774619929493,1.2,0,"10100"
0,1,"Hispanic, race specified",15,"Public",-1.0159,0.2706,-0.09,-3.16,-2.57,30.8572,"City","Midwest","B",-0.57,-0.07,-0.29,-0.64,-0.33,1.27,-0.46,-1.77,-2.92,2.01,5,2,1.52179369499357,2.8,0.678571428571429,"10103"
0,0,"White, non-Hispanic",15,"Catholic or other private",1.0498,1.0798,1.09,0.21,1.74,63.0972,"City","Northeast","B",0.6,-0.3,0.55,0.96,0.27,0.1,0.25,0.54,1.34,-1.08,8,6,-1.67180999419758,4.2,0,"10105"
0,1,"Black/African-American, non-Hispanic",15,"Public",-0.4907,-0.6069,-0.2,-0.04,-0.67,57.5439,"Rural","South","A",0.6,1.31,0.1,0.19,-0.33,1.27,0.25,0.5,0.83,-0.86,8,10,-1.08619893399721,4,0.0714285714285714,"10106"
0,0,"More than one race, non-Hispanic",15,"Public",0.0876,-0.0052,-0.66,-0.39,-1.27,38.1072,"Suburb","Midwest","D",0,-0.3,-0.61,0.19,0.91,1.69,0.25,0.93,0.15,-2.14,6,8,-1.01261319275442,1.2,0,"10109"
0,0,"White, non-Hispanic",14,"Public",0.5598,0.5219,1.39,0.7,0.08,61.6932,"Rural","South","A",1.16,1.31,1.62,0.56,-0.94,-0.33,-0.89,-0.61,-0.24,0.64,8,6,0.265641803030553,4,0.107142857142857,"10110"
0,1,"Asian, non-Hispanic",14,"Public",1.4591,1.5558,0.67,0.98,-0.66,77.4288,"Rural","Northeast","A",1.19,-0.3,1.21,0.19,1.52,1.08,1.41,1.32,-0.76,-0.66,10,10,-1.40903513600764,7.6,0,"10112"
0,1,"Hispanic, race specified",14,"Public",-0.8455,-0.9287,-1.21,-0.17,0.8,54.4463,"Rural","Midwest","C",-0.57,0.9,-0.17,-1.68,-0.33,1.27,0.25,0.16,1.03,-1.5,8,10,-0.0825396607041021,2.8,0.142857142857143,"10113"
0,0,"Asian, non-Hispanic",14,"Public",0.2871,0.2693,1.39,1.34,-0.68,56.3244,"Suburb","South","A",0.6,-1.33,1.62,0,0.91,0.71,0.25,0.5,0.46,-0.19,10,10,-1.67180999419758,5.6,0.142857142857143,"10122"
0,1,"White, non-Hispanic",14,"Public",-1.6616,-0.0959,0.21,-1.53,-0.41,56.4122,"Suburb","South","A",0.6,-1.33,0.1,-0.18,-0.33,-0.33,-0.05,-1.4,-0.17,1.84,6,2,1.03186327377842,4.8,0.607142857142857,"10123"
0,0,"White, non-Hispanic",14,"Public",0.3555,0.3595,1.09,0.52,-0.31,49.2027,"Suburb","South","A",0.6,1.31,0.1,1.69,0.91,1.27,0.69,0.93,0.7,-0.6,10,10,-0.512408738098765,4,0.142857142857143,"10124"
0,0,"Black/African-American, non-Hispanic",14,"Public",-0.4293,-0.5238,-0.15,-0.26,-1.71,49.547,"Suburb","South","B",-0.57,0.9,-0.41,-0.36,-0.33,0.28,0.25,-1.44,-0.6,2.57,10,8,1.84814993781287,3.6,0,"10127"
0,1,"Asian, non-Hispanic",15,"Catholic or other private",0.2533,0.3006,-0.15,-0.04,0.39,52.3332,"City","Northeast","B",-0.57,-0.3,-0.58,0.24,0.27,1.69,-0.05,1.7,0.66,-1.73,6,6,-0.182810337377185,3.6,0.321428571428571,"10128"
0,1,"More than one race, non-Hispanic",15,"Public",0.2807,0.3029,1.01,-0.39,0.17,71.1744,"Rural","South","A",0.6,-0.3,0.1,-0.18,0.91,0.1,0.25,1.71,0.64,-0.12,8,8,-0.493825675085691,4,0.0357142857142857,"10129"
0,1,"Hispanic, race specified",14,"Public",0.5592,0.4577,0.48,1.23,-0.61,75.5809,"Suburb","West","A",1.76,0.27,1.62,-0.22,0.31,0.71,1.09,1.38,0.65,-1.01,10,10,-0.512408738098765,5.6,0,"10131"
0,0,"White, non-Hispanic",15,"Public",0.3202,0.1953,-0.2,-0.39,-0.22,57.4303,"Suburb","Midwest","A",-0.57,-0.3,-0.17,0.19,-0.33,-0.47,-0.05,0.16,-0.08,-1.84,6,6,-0.835244940109192,4.8,0,"10132"
0,1,"Black/African-American, non-Hispanic",14,"Public",-0.1636,-0.0691,0.23,1,-1.12,47.1855,"City","Northeast","B",1.16,0.9,0.1,1.32,-0.94,-0.33,-0.05,0.54,-0.3,0.26,8,4,0.318940948139888,3,0.0714285714285714,"10138"
0,1,"Asian, non-Hispanic",14,"Public",1.0303,1.2316,-0.58,-0.04,-1.43,60.7838,"Town","South","A",0,-0.13,-0.17,-0.64,0.91,1.69,0.69,1.64,-1.87,-0.78,8,10,-0.756600533275629,4.8,0.357142857142857,"10143"
0,1,"More than one race, non-Hispanic",14,"Public",0.0676,-0.0235,0.29,0.77,-0.41,47.3269,"Suburb","South","A",-0.57,-0.3,0.1,-0.64,-0.33,1.27,0.25,0.49,-0.17,1.84,6,10,1.03186327377842,4.8,0.214285714285714,"10145"
0,0,"More than one race, non-Hispanic",15,"Public",0.1079,0.2059,-0.07,-0.34,-2.17,40.5263,"City","South","C",-1.16,0.9,0.1,0.14,0.31,0.15,-0.17,0.54,-1.67,1.11,2,10,-0.326731455880967,2.8,0,"10146"
0,1,"White, non-Hispanic",15,"Public",0.101,0.2245,-0.2,-0.39,-1.48,49.4672,"Town","West","C",-1.13,-0.7,0.1,-1.01,-0.33,0.1,0.25,-0.28,-0.31,1.13,6,2,1.09544465840778,2.4,0,"10149"
0,1,"White, non-Hispanic",14,"Public",1.9004,2.0303,0.33,-0.37,0.18,48.4579,"Rural","South","B",-0.57,1.31,-0.73,-0.34,0.27,0.84,1.53,0.49,0.03,0.49,10,10,-0.493825675085691,4.2,0.214285714285714,"10156"
0,1,"White, non-Hispanic",15,"Public",0.9834,1.0635,1.39,0.21,-0.98,53.5701,"Rural","West","A",0.6,-0.3,0.1,-0.16,0.91,0.1,0.25,0.16,-0.2,0.4,6,10,-0.157465075652957,5.6,0,"10158"
0,0,"White, non-Hispanic",14,"Catholic or other private",0.0489,-0.0414,-0.2,-0.39,0.56,43.6691,"Suburb","Northeast","C",-1.73,1.31,-0.08,-0.18,-1.57,-0.89,-0.46,0.16,1.51,-1.25,4,10,-1.34897379218715,2.4,0.25,"10159"
0,1,"White, non-Hispanic",14,"Public",-0.8837,-0.9674,-0.47,0.53,0.1,48.8718,"Rural","South","A",1.76,1.31,0.1,0.56,0.27,-0.33,1.53,0.93,-1.61,1.82,6,8,-0.0571943989798749,4,0.0357142857142857,"10161"
0,1,"Hispanic, race specified",15,"Public",-0.9416,-0.8896,0.21,-0.39,-0.92,54.2935,"Town","South","A",1.76,1.31,0.51,1.22,0.91,0.1,0.25,0.86,-0.34,1.6,10,2,0.521654462509338,4,0.0714285714285714,"10162"
0,1,"Hispanic, race specified",15,"Public",-0.0505,-0.0329,-0.47,0.16,0.4,68.3935,"Rural","South","A",0.6,-0.3,-0.69,-0.18,0.27,1.69,0.25,1.31,-0.35,-1.02,7,8,-1.07943673528606,4.8,0,"10163"
0,1,"Asian, non-Hispanic",14,"Public",1.8024,1.6564,-1,1,-0.44,50.4159,"Suburb","Midwest","A",0.03,-0.7,0.1,-0.96,0.91,0.23,0.25,0.86,0.93,-0.35,10,10,-0.756600533275629,4.8,0,"10164"
0,1,"Hispanic, race specified",14,"Public",0.0027,0.0419,0.03,1.1,-1,42.8849,"Suburb","South","B",0.6,-0.3,-0.17,-0.96,-0.33,-1.08,0.25,-1,0.09,0.07,4,10,-0.427002132554049,3.6,0.642857142857143,"10165"
0,1,"White, non-Hispanic",14,"Public",1.0753,1.1443,-1.64,1.59,0.77,61.0067,"Rural","South","A",1.16,0.27,1.34,1.72,0.27,1.27,1.83,-0.58,0.54,1.39,10,8,0.140025864633243,5.6,0.0714285714285714,"10166"
0,1,"White, non-Hispanic",14,"Public",0.3253,0.3217,-1.19,0.1,-2.09,51.0248,"City","South","B",-1.16,-2.37,-0.56,-1.63,0.27,-0.89,0.67,1.38,-1.86,-0.02,8,6,0.58847800504098,3.6,0.0357142857142857,"10167"
0,1,"White, non-Hispanic",14,"Catholic or other private",0.756,0.7779,0.71,1.23,0.72,43.5267,"City","South","C",0.6,0.27,0.38,0.49,-0.97,-0.89,-0.17,0.16,1.04,-1.49,6,4,-2.10167907159224,2.4,0,"10168"
0,1,"Asian, non-Hispanic",15,"Public",0.3952,0.3957,1.39,1.59,-1.47,63.0721,"Rural","South","A",1.76,1.31,0.95,1.71,2.15,0.71,1.83,1.7,-2.87,0.58,10,10,0.158608927646317,5.6,0.107142857142857,"10170"
0,0,"White, non-Hispanic",14,"Catholic or other private",0.811,0.8814,0.9,1.34,1.15,66.6382,"City","South","A",0.6,0.27,-0.17,0.49,0.91,0.84,0.25,1.32,1.37,-2.05,10,10,-2.10167907159224,5.6,0,"10171"
0,0,"White, non-Hispanic",14,"Catholic or other private",2.2775,2.2352,-0.45,1,0.82,65.4175,"City","Midwest","A",0.6,-1.1,0.55,-1.33,0.91,1.27,1.1,-0.99,0.81,-1.48,10,10,-2.10167907159224,4.8,0,"10173"
0,1,"Asian, non-Hispanic",15,"Public",0.1268,0.1088,0.33,-0.39,-2.05,51.1482,"City","Midwest","A",1.76,-0.07,1.21,1.34,-0.33,1.69,1.83,1.38,-2.19,1.6,8,6,1.95166277238823,5.6,0.0357142857142857,"10175"
0,0,"White, non-Hispanic",15,"Public",0.4133,0.4554,0.71,0.12,-2.01,69.3018,"City","West","B",0.03,-0.13,-0.17,-0.66,0.27,0.1,1.83,0.16,-2.5,-0.15,10,10,-1.24194091680291,4.8,0.0357142857142857,"10178"
0,0,"More than one race, non-Hispanic",15,"Catholic or other private",0.9223,0.9453,0.71,0.7,0.34,53.3125,"City","West","A",-0.57,-0.3,-0.56,1.34,-0.33,0.71,-0.89,-0.56,1.12,-1.54,10,10,-0.512408738098765,4,0,"10180"
0,0,"White, non-Hispanic",15,"Public",0.1878,0.2413,1.39,1.34,-0.28,58.9156,"City","South","A",0,-1.33,1.34,-0.96,-0.33,0.28,-0.05,-0.23,-1.11,0.92,8,10,-0.40537586271453,5.6,0.107142857142857,"10183"
0,0,"Asian, non-Hispanic",14,"Public",-0.3738,-0.4073,1.01,0.98,-1.5,31.8509,"City","South","B",-1.73,-0.93,-2.51,-1.68,-0.33,0.1,-0.59,1.27,-1.2,0.26,4,2,0.283748032061195,3,0.607142857142857,"10186"
0,0,"Asian, non-Hispanic",14,"Catholic or other private",-0.6548,-0.7093,0.29,-0.09,0.64,32.714,"City","West","D",-0.57,1.31,-1.02,0.19,0.27,1.69,0.25,1.38,1.02,-0.76,4,10,0.832669800217844,1.2,0.75,"10189"
0,0,"Amer. Indian/Alaska Native, non-Hispanic",16,"Catholic or other private",-0.281,-0.3075,-2.62,-0.31,0.28,38.5661,"Rural","Midwest","C",-1.13,-0.7,-2.09,-1.31,-0.36,-0.33,0.68,-0.23,1.43,1.42,6,8,1.26578103551478,2,0.0714285714285714,"10191"
0,0,"White, non-Hispanic",15,"Catholic or other private",1.0269,1.0433,0.71,0.98,1.33,32.6739,"City","West","B",0,-0.3,-0.56,0.49,0.27,-0.89,-0.89,-0.6,2.08,-2.14,6,8,-2.10167907159224,3.6,0.0357142857142857,"10193"
0,1,"White, non-Hispanic",14,"Catholic or other private",-0.0327,0.027,1.01,-0.04,1.21,57.3826,"City","South","A",0.6,-0.3,0.1,0.19,0.27,-0.47,0.25,0.16,1.42,-1.95,8,6,-2.10167907159224,4.8,0,"10194"
0,1,"More than one race, non-Hispanic",14,"Public",1.0087,1.0481,0.1,0.05,0.48,59.197,"Rural","South","A",0.6,0.27,0.1,-0.29,0.91,-0.89,1.41,-0.23,1.33,0.32,6,8,0.988411783023547,5.6,0,"10195"
0,0,"Black/African-American, non-Hispanic",14,"Catholic or other private",-0.39,-0.3267,0.14,-0.64,0.93,26.1576,"City","Midwest","C",-1.13,0.27,-2.12,-1.31,-0.33,-0.28,-1.22,-0.26,1.57,-1.45,4,6,-1.40903513600764,2,0.642857142857143,"10196"
0,1,"White, non-Hispanic",15,"Public",-0.2391,-0.2574,0.1,1.59,-1.47,31.533,"Rural","South","B",0.6,1.31,1.62,2.08,-0.33,0.1,-0.46,-0.24,-2.87,0.58,10,4,0.158608927646317,3,0.0714285714285714,"10208"
0,1,"Hispanic, race specified",13,"Catholic or other private",2.0292,1.9976,0.23,1.1,1.27,62.3903,"City","Midwest","A",1.76,0.9,1.62,1.69,2.15,1.69,1.83,2.03,1.91,-1.9,8,10,-1.342211593476,5.6,0,"10210"
0,0,"White, non-Hispanic",15,"Public",1.0961,1.1116,0.1,0.85,0.56,55.4284,"City","Midwest","B",0.6,0.27,-0.17,-0.27,-0.33,-0.47,-0.05,0.16,0.62,-1.25,6,6,-0.835244940109192,3,0.142857142857143,"10211"
0,1,"White, non-Hispanic",14,"Catholic or other private",1.9172,1.9193,-0.92,1.04,0.79,78.6415,"City","West","A",1.76,-0.87,1.62,0.1,0.27,-2.49,1.83,-1.89,1.48,-1.04,8,8,-1.342211593476,7.6,0,"10212"
0,0,"White, non-Hispanic",14,"Catholic or other private",0.879,0.898,0.9,1.34,1.53,52.5168,"City","South","A",1.16,-0.7,0.1,0.55,0.27,0.1,-0.05,-1,1.79,-1.48,10,8,-2.10167907159224,5.6,0.0357142857142857,"10213"
0,1,"More than one race, non-Hispanic",14,"Public",-0.5442,-0.5924,1.01,-0.04,0.02,61.8043,"Rural","Northeast","C",1.16,1.31,1.34,0.56,0.91,1.69,1.83,1.38,0.71,-0.81,10,10,0.0799645208127539,2.8,0,"10214"
0,1,"White, non-Hispanic",14,"Public",0.4431,0.4882,-0.7,1.1,-1.88,41.8678,"City","West","B",0.6,1.31,0.95,0.93,-0.97,0.1,-1.33,-1,-0.42,-0.78,3,2,-0.835244940109192,3.6,0.25,"10219"
0,1,"White, non-Hispanic",14,"Public",-0.9952,-1.1185,-0.17,0.24,-4,61.5325,"Suburb","Midwest","C",-1.73,-1.33,-1.41,-0.09,-0.33,-1.5,0.25,-1.09,-0.17,-0.35,10,5,0.265641803030553,2,0.25,"10220"
0,1,"More than one race, non-Hispanic",15,"Public",0.1782,0.2504,-2.4,0.32,-0.69,62.2458,"City","South","B",0.56,1.31,1.62,1.69,-1.57,1.27,-1.02,0.56,-1.07,-0.61,6,2,-0.326731455880967,3.6,0.0714285714285714,"10221"
0,0,"White, non-Hispanic",15,"Public",0.2131,0.3641,0.48,-0.37,0.56,55.0041,"Town","South","B",0.03,0.5,0.1,-0.89,2.15,0.84,-0.17,0.93,0.93,0.33,8,8,-0.326731455880967,3,0.0357142857142857,"10223"
0,0,"Black/African-American, non-Hispanic",14,"Catholic or other private",0.2531,0.2994,-0.2,-0.73,0.72,60.6604,"City","South","A",0.6,-0.3,-0.17,0.19,-0.97,-0.33,-0.48,-0.56,1.28,-1.68,8,10,-0.512408738098765,4.8,0.0714285714285714,"10227"
0,0,"White, non-Hispanic",15,"Public",1.3994,1.4829,0.25,1.26,-0.6,63.7739,"Rural","Midwest","A",-0.57,-1.1,0.1,-1.51,0.27,-0.76,1.83,0.87,1.04,-0.39,10,10,-1.50930581268072,4,0,"10229"
0,0,"Hispanic, no race specified",16,"Catholic or other private",-1.7157,-0.8779,0.52,-0.34,1.21,27.2489,"City","South","D",-1.73,-0.3,-1.82,-0.74,-1.57,0.41,-2.91,-0.28,1.42,-1.95,8,2,-2.10167907159224,1,0.607142857142857,"10231"
0,1,"White, non-Hispanic",14,"Public",-1.3419,-1.4699,-0.81,-0.49,-0.28,46.5772,"Rural","South","B",-1.73,-0.3,0.1,-0.54,-1.57,-0.89,0.25,0.52,0.93,0.5,2,2,0.772608456397355,4.2,0,"10232"
0,1,"White, non-Hispanic",15,"Public",1.5235,1.5448,-0.2,-0.39,-1.34,58.2996,"City","South","A",-0.57,-1.33,0.1,-0.66,-1.57,-3.1,-1.33,-1.4,-0.32,-0.39,6,6,-0.512408738098765,5.6,0.142857142857143,"10233"
0,0,"Black/African-American, non-Hispanic",14,"Public",0.8559,0.9219,1.39,-0.39,0.14,61.6927,"Rural","South","A",1.19,-0.7,0.55,0.17,1.52,0.71,1.1,1,0.82,-1.21,10,10,-1.24194091680291,5.6,0.142857142857143,"10234"
